음식점명,음식종류,위도,경도
색달가든,단품요리 전문,33.4976993,126.5345955
한길정,가정식,33.2639218,126.5484522
헝그리닭발포차,단품요리 전문,33.4878532,126.4779634
다원우,가정식,33.4846698,126.4291132
영춘식당,가정식,33.5009142,126.5193476
블리스풀,단품요리 전문,33.4049743,126.4075198
함구삭당,가정식,33.2191483,126.2511279
은진이네식당,가정식,33.5040388,126.4660726
철수네숯불갈비,가정식,33.4814105,126.4994419
초밥공장,단품요리 전문,33.5525064,126.7915691
유레카,단품요리 전문,33.4811791,126.4905382
고집순두부연동본점,단품요리 전문,33.4893199,126.4858409
이서림,가정식,33.5067033,126.5244098
오늘은 식당,가정식,33.2352801,126.3683814
에이바우트커피 올레시장점,커피,33.2473889,126.5628123
다인가든,단품요리 전문,33.4714919,126.351163
제주국담,가정식,33.4886174,126.4947117
야시장이동식판매대(27호),단품요리 전문,33.510322,126.5264848
김씨네음식점,가정식,33.2525437,126.5586821
복덩이숯불갈비,가정식,33.2639946,126.5593769
해지개,단품요리 전문,33.4642136,126.3089572
왕서방,중식,33.4739373,126.3736468
돈이랑성산점,가정식,33.4474992,126.9159798
미미,가정식,33.4799282,126.4006372
수선화식당,단품요리 전문,33.5018551,126.5425829
배스킨라빈스제주함덕점,베이커리,33.5425002,126.6689831
스테이위드커피 주식회사,단품요리 전문,33.2277359,126.303192
꽃담수제버거,햄버거,33.4629784,126.935964
푸주옥도남점,가정식,33.4919169,126.529927
컴포즈커피토평점,커피,33.267896,126.5902444
제리스펍 제주서귀포점,양식,33.2431767,126.5637627
모도리,가정식,33.2801589,126.2771645
덕성식당,가정식,33.2285774,126.3053959
대정고을식당,가정식,33.2478424,126.2770933
중문솥뚜껑,가정식,33.2382981,126.4318207
제성제과올레시장점,단품요리 전문,33.2492195,126.5638554
로컬제주이야기카페,커피,33.51693789999999,126.5031087
옵데강숯불갈비2호점,가정식,33.5168068,126.5189741
서진돈까스,단품요리 전문,33.4639293,126.9324652
군산소문난해물칼국수,단품요리 전문,33.50385139999999,126.5371565
에프터 글로우,단품요리 전문,33.4886433,126.5493486
안녕협재씨 제주협재점,가정식,33.3990309,126.2453572
빵귿,베이커리,33.4871193,126.5351508
크라운호프제주일도점,맥주/요리주점,33.5025008,126.5432102
내담,가정식,33.2515529,126.5126005
제이팩토리,단품요리 전문,33.2882795,126.5894021
용두암 엄마 해장국,단품요리 전문,33.5152308,126.5063287
민박사봉평막국수,단품요리 전문,33.5205147,126.5874427
숙성돈가,가정식,33.2479177,126.4304754
네네치킨남원점,치킨,33.2812002,126.7220972
흑돼지제주정,가정식,33.3248419,126.8438792
픽미픽미아이스 제주아라점,아이스크림/빙수,33.4758227,126.550614
풍년내장탕해장국,단품요리 전문,33.488414,126.4934231
어머니빵집,베이커리,33.4916014,126.4885561
순수한둠비연동점,가정식,33.4855239,126.4846855
회가서쪽에서뜨겠네,단품요리 전문,33.4600047,126.3117121
조아라 아구찜 본점,일식,33.5088779,126.5049788
교촌치킨 아라이도점,치킨,33.4939349,126.5415506
제주포차,가정식,33.498715,126.5294978
상명식당,가정식,33.35807339999999,126.2742981
성태주식회사,중식,33.4837384,126.4846085
산지해장국서귀포점,단품요리 전문,33.2481624,126.5069564
치킨마루 노형제일고점,치킨,33.4781968,126.4816086
제주뱃도새기서귀포올레시장점(주식회사특산),가정식,33.25039,126.5585259
봄봄 도두점,커피,33.5034275,126.4658232
페이지투,단품요리 전문,33.2068238,126.2896438
돈후명가,가정식,33.486284,126.4904999
도새기1982,가정식,33.2550646,126.5714728
해조곱창,단품요리 전문,33.4895447,126.4771983
황해식당,가정식,33.49235,126.4306531
이가,가정식,33.4788578,126.4803334
강해일횟집,단품요리 전문,33.3255351,126.8441586
7번가피자함덕점,피자,33.5422248,126.6641234
서귀포 목마,가정식,33.2477194,126.5595987
옵서예휴게소,단품요리 전문,33.4631844,126.4514683
큰길,가정식,33.2858448,126.3655093
도라지식당,가정식,33.4928209,126.5059269
별미집구제주점,단품요리 전문,33.497479,126.5317171
제주전복김밥,분식,33.4364995,126.9181228
숙성정육식당,가정식,33.4889772,126.4897074
미향해장국표선점,단품요리 전문,33.3169589,126.8283428
김밥천국 연동점,분식,33.4877703,126.4902901
한점,양식,33.4752061,126.5497605
그린보이즈,단품요리 전문,33.4803954,126.4758591
다섯시갈비,단품요리 전문,33.5032152,126.5419849
용림식당,가정식,33.2284551,126.3080203
주식회사88버거,햄버거,33.2492776,126.567167
애월문개항아리(주),가정식,33.4857808,126.3924076
화양양,단품요리 전문,33.4765275,126.4875498
더후라이팬제주이도점,치킨,33.5048701,126.5259326
청자다방 서귀포1호점,커피,33.2530637,126.5068681
킹콩부대찌개 정부합동청사점,단품요리 전문,33.4904665,126.5263237
노형그때그집,가정식,33.49070030000001,126.4779651
일품순두부성산점,가정식,33.4361236,126.9180285
올레승돈,가정식,33.2471041,126.5622615
주민상회 서광신화점,가정식,33.289795,126.3016564
송악산엉클스화덕피자,피자,33.208849,126.2883086
돈떵이용담점,가정식,33.5131047,126.5055333
노형엔횟집,단품요리 전문,33.4891628,126.4794079
바르왓,가정식,33.4097276,126.2689374
마므레,가정식,33.2746927,126.6959295
김밥천국 이도점,분식,33.4904885,126.5374075
카페송키,커피,33.5151405,126.520192
골목카페옥수,커피,33.4398656,126.3800136
제주숲누룽지통닭,치킨,33.4912301,126.4304441
한양춘향연화점,단품요리 전문,33.4771486,126.4888475
산전수전 인생역전,가정식,33.4862111,126.4955795
육장갈비하귀점,단품요리 전문,33.4837873,126.4122279
일일오팔흑돼지,가정식,33.4671171,126.336523
평균이하,단품요리 전문,33.4634489,126.3145823
하영횟집,단품요리 전문,33.2452019,126.5224295
금바우,가정식,33.2455881,126.5610858
바른양,중식,33.4948052,126.5274047
(주)산굼부리,가정식,33.4180631,126.6534847
박세현의보고싶다제주라면,가정식,33.4941003,126.4461205
나니와,가정식,33.4866557,126.4878266
주식회사 우동카덴,일식,33.4180631,126.6534847
루스트플레이스외도점,양식,33.4857302,126.4306591
까떼커피,단품요리 전문,33.3254604,126.8424307
효퇴국수,단품요리 전문,33.5015448,126.519608
괸당집함덕점,단품요리 전문,33.5424052,126.6644498
주식회사 수우동,일식,33.396611,126.2424239
그리다앤쿡,양식,33.4975038,126.5306528
한라산해장국,가정식,33.4873913,126.4959608
7번가피자제주삼화점,피자,33.5211062,126.587115
덕승식당,가정식,33.2192541,126.2513084
꽃길식당용담본점,가정식,33.5160873,126.5061514
제주주민갈비,단품요리 전문,33.5142557,126.5199548
오가네전복,가정식,33.268282,126.5895912
김마리,분식,33.4971603,126.5293719
디제이개발 주식회사,단품요리 전문,33.4885606,126.4917047
파리바게뜨제주김녕점,베이커리,33.5543796,126.7476452
생돈우리,단품요리 전문,33.4797258,126.4618665
옛날통닭,치킨,33.2525598,126.5107944
제주공항그때그집직영점,단품요리 전문,33.5103627,126.482777
온기,단품요리 전문,33.4950234,126.546744
오늘해장국,단품요리 전문,33.5195028,126.5685407
노가리앤비어  이도일동점,맥주/요리주점,33.5026739,126.5329238
쪼개쪼개조개구이,단품요리 전문,33.502564,126.546565
메가엠지씨커피제주일주서로점,커피,33.4926503,126.4253225
스시제주,일식,33.4838872,126.4821373
이비가짬뽕연동점,중식,33.4814048,126.5007635
은희네해장국,단품요리 전문,33.4881828,126.4332917
노라바,가정식,33.4829842,126.3764916
망고홀릭제주본점,단품요리 전문,33.4726152,126.4847916
제주몹시,커피,33.4945493,126.4336001
서귀포이고집,가정식,33.2522226,126.5686565
민스펍,가정식,33.4834271,126.47811
쌍둥이횟집본점,일식,33.2466261,126.5629534
나이체,단품요리 전문,33.4751906,126.5468314
파리바게뜨신제주점,베이커리,33.4877703,126.4902901
제주도 고기국수 만세국수,단품요리 전문,33.4977397,126.5370559
참좋은해물라면애월점,분식,33.4838613,126.3781469
정글북바이앨리스,단품요리 전문,33.4848645,126.4885577
동경생포차연동점,가정식,33.4871367,126.4916133
솔담,가정식,33.4874805,126.4925291
"영빈횟집,해변의 집 영빈",일식,33.2433066,126.5678779
공룡마라탕앤꼬치7호점,중식,33.4142298,126.2628205
계절식탁향토,가정식,33.54255870000001,126.6673897
주식회사 협재칼국수,단품요리 전문,33.3968197,126.2445054
모이소,단품요리 전문,33.4871211,126.4885456
바당길 서귀포점,가정식,33.3330338,126.6180657
아싸살아있네,일식,33.4869973,126.4931083
파리바게뜨제주애월점,베이커리,33.46414070000001,126.3208412
카페드노아,커피,33.302706,126.6568975
무공돈까스제주이도점,분식,33.4946123,126.5343376
탐나는식당몸국.고사리해장국,단품요리 전문,33.27121,126.611604
바다풍경,단품요리 전문,33.4647219,126.9357939
맥주창고,맥주/요리주점,33.4965533,126.5263411
훈이숯불갈비,가정식,33.4840354,126.4872099
서프스시,일식,33.2510518,126.4233684
함덕해장국,단품요리 전문,33.5399625,126.678627
셰프앤서서아이스크림,아이스크림/빙수,33.2514424,126.5033249
꿈낭밥집,가정식,33.4239781,126.4053053
전망좋은집,일식,33.4599553,126.9306977
블랑로쉐,단품요리 전문,33.5169474,126.9579979
하나로휴게음식점,분식,33.5041073,126.5544816
우정회관,가정식,33.5177203,126.5283813
네네치킨노형점,치킨,33.4784237,126.4896751
구삼화로,가정식,33.2516682,126.5093697
화돗,단품요리 전문,33.4840958,126.4120079
옹포83,양식,33.4047243,126.2550582
태희곽지,양식,33.4494216,126.304409
주식회사 제주피슈마라홍탕,단품요리 전문,33.4991157,126.5299154
도도름한우와흑돈,단품요리 전문,33.4896908,126.4905027
엔,일식,33.4795369,126.4900137
비에이치씨함덕점,치킨,33.5436127,126.6612144
할매식당,가정식,33.24152280000001,126.5645714
피자와치킨의러브레터,피자,33.2535902,126.30413
마이도,일식,33.4881756,126.492153
잇칸시타,일식,33.4771354,126.3702005
카페블루탐,커피,33.5311798,126.6196379
꼬꼬앤쿡,단품요리 전문,33.5000828,126.520428
연태만,중식,33.5081271,126.5253234
바다가는길,단품요리 전문,33.2394153,126.5584767
제주세호해장국노형직영점,단품요리 전문,33.4865328,126.4818946
세이슌,가정식,33.4977908,126.5294391
도원춘,중식,33.4148822,126.2641314
금보식당,가정식,33.5175193,126.5283068
애월할망네,가정식,33.4102243,126.3758566
마초왕갈비,단품요리 전문,33.4990697,126.5285019
황금고팡,단품요리 전문,33.54195139999999,126.667749
월정항아리갈치구제주해물통,단품요리 전문,33.5515115,126.7022385
양푼속닭한마리,가정식,33.4875048,126.4918537
짬뽕에취한날,중식,33.4911642,126.4978563
신동성식당,가정식,33.2677262,126.5892222
충민정,가정식,33.5025361,126.5131842
용해로,가정식,33.5076635,126.5044426
대포해송,단품요리 전문,33.2390325,126.4428065
제주코시롱,단품요리 전문,33.4631795,126.933055
자키커피,단품요리 전문,33.5120552,126.5254329
백번,단품요리 전문,33.4643532,126.3199555
산방산우리동네,가정식,33.2338011,126.3053184
대한민육,가정식,33.25039,126.5585259
픽스커피공단점,단품요리 전문,33.5148636,126.5721188
온정숯불구이,가정식,33.2552425,126.5751124
제주세호해장국연동점,단품요리 전문,33.4912423,126.4899628
제라진국밥,가정식,33.5076471,126.5251434
호맥,단품요리 전문,33.4874867,126.4923109
마케집제주,단품요리 전문,33.4896751,126.5388675
교촌치킨세화점,치킨,33.5266165,126.8545345
게슈탈트 커피 제주,커피,33.4879342,126.7081285
응그레,양식,33.4745961,126.5405534
돌갱이네집,분식,33.3935929,126.2397924
삼형제시골순대,단품요리 전문,33.5239291,126.5867978
무지개맥주 제주일도본점,맥주/요리주점,33.5019374,126.5427695
야키토리 타키비,단품요리 전문,33.2525614,126.4234516
제주도감 주식회사,단품요리 전문,33.4817431,126.5089481
흑마가든,가정식,33.4772966,126.4893497
제주태원,가정식,33.5089538,126.5389729
아늑월정함덕점,가정식,33.555167,126.7967079
표선반점,중식,33.3262955,126.8322859
이한식당,가정식,33.2482937,126.5626636
빨간집서귀포점,가정식,33.2468895,126.5639771
육지것들,맥주/요리주점,33.2504104,126.42401
팔도실비집신서귀포점,가정식,33.2538087,126.5094805
스테이지하우스 제주카이트서핑,단품요리 전문,33.4904095,126.9107751
커피베이 제주공항국내선1호점,커피,33.507781,126.4931329
돈가,단품요리 전문,33.4864369,126.4970535
우돈채,가정식,33.4914737,126.5393194
미풍해장국광령점,단품요리 전문,33.4034138,126.4508866
가담국수 하귀점,단품요리 전문,33.4848906,126.4167042
어반 르토아,단품요리 전문,33.49109170000001,126.5420175
삼강식당중문점,단품요리 전문,33.2514687,126.4237347
써브웨이제주시청점,샌드위치/토스트,33.4988063,126.5294997
카페오가다제주점,차,33.507781,126.4931329
배롱개,가정식,33.5578037,126.7944853
으뜨미,가정식,33.4707015,126.787138
커피빈 제주애월DT점,커피,33.4780918,126.3632124
카페파스쿠찌 일도점,커피,33.5064901,126.5410332
우정곱창서귀포점,단품요리 전문,33.2570763,126.5751012
이어도식당,가정식,33.3842505,126.8024437
어진이네횟집,단품요리 전문,33.2409712,126.6108298
주식회사 학산 서귀포지점,단품요리 전문,33.2494339,126.6188155
30년할매닭발모슬포점,단품요리 전문,33.2224167,126.2520189
유채꽃 향기처럼,단품요리 전문,33.4579564,126.4506351
디앤,단품요리 전문,33.4982555,126.5297458
오가다 제주공항점,차,33.507781,126.4931329
홀리싯커피서플라이,단품요리 전문,33.4948287,126.5413118
피자헛 이도점,피자,33.497059,126.5365893
흑돼지떡갈비올레시장맛집점,단품요리 전문,33.249553,126.5637245
경애관,가정식,33.4838264,126.4946216
반올림피자샵 제주점,피자,33.5018725,126.5221588
곶자왈화덕피자,피자,33.2257406,126.2699098
연동송림,단품요리 전문,33.4879555,126.4929732
주식회사 쿼드라 NLCS제주지점,단품요리 전문,33.2973548,126.2891088
첨밀밀양고기,중식,33.3247309,126.8324299
꼬지사께연동점,꼬치구이,33.4782533,126.491307
한이장식당,가정식,33.49936690000001,126.6566506
마라양꼬치,꼬치구이,33.4871367,126.4916133
제주공항본점공항뚝배기,가정식,33.4939258,126.4959569
중국집마씸,중식,33.3498642,126.1831582
돈마루2호점,가정식,33.4828008,126.4720915
육싸롱,가정식,33.2517889,126.5736046
어촌계회센타,단품요리 전문,33.4658576,126.3218403
전원일기동광점,가정식,33.3098353,126.3460995
제주오라방,가정식,33.2475029,126.5641085
도리스,단품요리 전문,33.4896767,126.4909762
꺼멍연탄구이,단품요리 전문,33.3179652,126.2701337
도남해돈가,단품요리 전문,33.4955801,126.5261626
제주스,단품요리 전문,33.5128628,126.5269164
군족서귀포점,가정식,33.2554501,126.5747318
(주)옹포바다횟집,단품요리 전문,33.403923,126.2517033
파리바게뜨제주봉개점,베이커리,33.4915601,126.5919477
협재김씨술생활집,단품요리 전문,33.3979757,126.2455107
모어댄댓,양식,33.4759521,126.5474937
커피냅로스터스 제주,커피,33.4892208,126.4137664
항아리조림,단품요리 전문,33.5261886,126.8564024
아라돈사촌,단품요리 전문,33.482154,126.5438394
뽈살집,가정식,33.4156672,126.2692632
메가엠지씨커피516도로점,커피,33.269982,126.5857289
카페 쌀쌀,단품요리 전문,33.475141,126.3642257
샤브앤샤브,단품요리 전문,33.4748191,126.5497714
원보부페,단품요리 전문,33.2489457,126.5639028
더벤티 해비치리조트점,커피,33.3248419,126.8438792
협재해물라면쪼꼴락상회,분식,33.3937629,126.2415612
(주)바다바라,단품요리 전문,33.2459369,126.4126699
꿈낭,가정식,33.4244477,126.4055936
마루엔파니야,단품요리 전문,33.5189819,126.4911355
튀메기,단품요리 전문,33.5097535,126.5047627
이것이국밥이다 서귀포점,단품요리 전문,33.2547533,126.5583259
장흥식당,단품요리 전문,33.3259511,126.835128
표선풍천장어,가정식,33.32509280000001,126.8327377
루스트플레이스베라체점,양식,33.4924444,126.5430135
(주)커피빈코리아,커피,33.4847778,126.5343571
제주정낭집,단품요리 전문,33.5217367,126.5844717
휴계농장외도점,가정식,33.4900167,126.4336584
사리원,중식,33.4786423,126.4798297
잇수다,양식,33.4668744,126.3375803
채색,단품요리 전문,33.5230863,126.8573082
돌돌이,가정식,33.2787497,126.5649111
역전할머니맥주외도점,맥주/요리주점,33.4872792,126.4313993
제주고기국수만세국수,가정식,33.4941591,126.5187824
인,가정식,33.5451832,126.8279938
저지해장국,단품요리 전문,33.3288645,126.2547646
다랑시,단품요리 전문,33.5089523,126.533037
육회공작소,가정식,33.4867546,126.4914
그리트커피(Gr iet Coffee),단품요리 전문,33.4752004,126.5492544
스시애월,일식,33.4521908,126.3843747
풍년식당,가정식,33.2673054,126.5739712
주식회사 삼양상사,베이커리,33.4838459,126.4434897
이어돈 성산 그 두번째이야기,단품요리 전문,33.4667037,126.9305321
메종드쁘띠푸르(공항점),베이커리,33.487948,126.5020409
바다보는날,분식,33.4838821,126.3779994
해비치불턱,가정식,33.3125276,126.837297
디디씨치킨,치킨,33.3502636,126.1830714
해미원횟집,단품요리 전문,33.3249935,126.8442243
호로락,가정식,33.4978514,126.9676091
뜰채,가정식,33.2598045,126.5137887
모들한상,단품요리 전문,33.4553529,126.3469774
대패고기집,단품요리 전문,33.257069,126.5763657
예래미반,가정식,33.2355817,126.3698944
동해수산회센타,단품요리 전문,33.5119549,126.5280087
제주관덕정분식,분식,33.5126091,126.5243351
주식회사 제이콥에프앤비 무민카페제주점,커피,33.3065678,126.3818063
너럭,일식,33.5161387,126.5088803
상상함덕점,일식,33.5432518,126.6622197
공간키친,단품요리 전문,33.4998531,126.529019
신삼다,단품요리 전문,33.5118434,126.5251664
영은맛집,가정식,33.2362303,126.5142667
옛집투,단품요리 전문,33.4659777,126.4934011
샤브마니아 제주삼화점,단품요리 전문,33.5131131,126.5803718
태진해장국,단품요리 전문,33.4844415,126.540167
삼계별장,가정식,33.4891878,126.5422233
제주미담,단품요리 전문,33.5023614,126.5372973
왕가탕후루,기타세계요리,33.4983498,126.5305076
불닭공장모슬포점,단품요리 전문,33.2210217,126.2489411
영주산성식당,가정식,33.3931441,126.7987609
수영밥상본점,단품요리 전문,33.4860931,126.4296514
두갓,단품요리 전문,33.4646983,126.4493663
강풍해장국,단품요리 전문,33.2303079,126.2920898
낭불화로구이 제주신화월드점,단품요리 전문,33.2898824,126.3021993
임성반점,단품요리 전문,33.5095037,126.5097646
탐라요정 신제주점,가정식,33.4870605,126.4908599
산도롱맨도롱 제주공항점,단품요리 전문,33.5132117,126.5044073
청춘괴기생고기전문점,가정식,33.2535641,126.5104503
(주)블루밍그릴,가정식,33.2560936,126.4148163
유신횟집,단품요리 전문,33.5125851,126.5270721
저지오름반점,중식,33.3305445,126.2552585
김영미재첩해장국,단품요리 전문,33.4900376,126.5347451
공룡마라탕앤꼬치6호점,꼬치구이,33.4740507,126.545139
그란데,양식,33.474179,126.5497298
산촌오리외도점,단품요리 전문,33.4890828,126.4304212
루스트플레이스칠성로점,양식,33.5150061,126.5253958
솜빡매생이갈비탕,가정식,33.5040197,126.4655066
주식회사 파란나라,가정식,33.5158103,126.5245045
주식회사 제주1번가,가정식,33.5063555,126.4639168
바르다김선생이도점,분식,33.4887884,126.5397871
국수마씸,단품요리 전문,33.5109857,126.5209407
서울불고기,단품요리 전문,33.2522671,126.5717418
방글방글,단품요리 전문,33.4363672,126.9198073
벌크커피신제주점,커피,33.4896128,126.4886767
제주돈토랑,가정식,33.4856494,126.4831855
해다미,가정식,33.5155305,126.5077952
올레자매밥집,가정식,33.2429517,126.565587
대영수산직영회센타,단품요리 전문,33.5239658,126.8551017
해수육장,가정식,33.500135,126.5331452
갈치관,단품요리 전문,33.4819259,126.375227
통큰코다리,단품요리 전문,33.3923012,126.2411258
다시또오리,단품요리 전문,33.5008369,126.5445249
풍원,가정식,33.5084672,126.9440879
자매정식,가정식,33.5012724,126.5221295
미국식제주점,햄버거,33.49006,126.4800259
이로운술상,가정식,33.5414638,126.6645853
골목돼지,가정식,33.4872528,126.4834137
그리울땐제주,커피,33.300986,126.770717
세화어머니손맛,가정식,33.525758,126.8544566
육회본가제주직영점,단품요리 전문,33.2474795,126.5639681
우무공항,단품요리 전문,33.5098305,126.5233913
가르텐노형점,단품요리 전문,33.4890638,126.4765225
스시한점오마카세,단품요리 전문,33.5430169,126.6641703
올레시장에 갓더라면,가정식,33.2471352,126.560843
노형막창고을,단품요리 전문,33.4910476,126.4789482
김준호의대단한갈비 제주도남점,단품요리 전문,33.495306,126.5267812
마라도해녀촌,가정식,33.1199618,126.2672639
중문해물라면오빠네본점,단품요리 전문,33.2583211,126.4079001
흑돼지가노는집,단품요리 전문,33.483687,126.4085944
최남단식당,가정식,33.2169236,126.2521194
고기장,단품요리 전문,33.51756210000001,126.487464
서가도삼계탕,단품요리 전문,33.5152877,126.5162326
굽네치킨 영어도시점,치킨,33.2926868,126.2862265
친정집,가정식,33.5200838,126.5731444
서귀포하르방식당,가정식,33.2471075,126.5601522
노모어블루스,단품요리 전문,33.4929689,126.5376603
망고레이 천지연폭포점,커피,33.2433838,126.5597706
내도음악상가,단품요리 전문,33.4979731,126.4456232
주식회사로컬리지,단품요리 전문,33.2315837,126.2964386
대아갈비,단품요리 전문,33.4887625,126.4881759
소랑아시,커피,33.2939837,126.419312
모락모락왕만두,분식,33.4941713,126.5477284
옵서예,단품요리 전문,33.4982082,126.532245
파파파,가정식,33.5012316,126.5328764
와와치킨,치킨,33.504132,126.4654474
교촌치킨함덕점,치킨,33.54255870000001,126.6673897
도립,단품요리 전문,33.5560756,126.8052835
제주할망뚝배기,가정식,33.2405319,126.5656185
천지연무태장어신서귀포점,가정식,33.2544212,126.5073567
조림명가,가정식,33.2483113,126.5596884
(주)오제이상사애월지점 낭푼밥상,가정식,33.4835129,126.4889443
빽다방서귀포하원점,커피,33.2536545,126.4613621
해피소울라운지,단품요리 전문,33.4837553,126.4869573
강명선샤브샤브,단품요리 전문,33.4922507,126.4972876
옛날아우내순대중문점,단품요리 전문,33.2508691,126.4334425
구남로7길,가정식,33.4927298,126.5348636
김복남맥주1995서귀포혁신도시점,맥주/요리주점,33.2521083,126.5088702
릇,일식,33.3188653,126.2689669
김밥명가,분식,33.2520023,126.5605005
동백정원,단품요리 전문,33.2495679,126.4465693
막창먹는놈,단품요리 전문,33.2493156,126.566517
이태리치킨,치킨,33.2379131,126.5102991
제일성심당,베이커리,33.4471509,126.9165415
제미니국수,단품요리 전문,33.2521671,126.6227327
관심사,단품요리 전문,33.5112505,126.5245787
60계제주아라점,치킨,33.475198,126.5488473
미백담,가정식,33.2660743,126.3706986
빨간맛집성산점,단품요리 전문,33.4484358,126.9152023
영자네해장국,가정식,33.5215932,126.5679222
잇잇,분식,33.4980315,126.5299049
제주막창,단품요리 전문,33.2494489,126.5656498
중문해물탕,가정식,33.2521952,126.4218406
웨이브메이커컴퍼니 주식회사,일식,33.4923653,126.5419474
성산풍천장어,가정식,33.4348609,126.9107346
옛날통닭 성산점,치킨,33.4497863,126.9141799
남문숯불바베큐앤치킨한림점,치킨,33.4152494,126.2651646
이화원,중식,33.4897027,126.4740847
시골못난이투,가정식,33.486714,126.4928356
회춘 애월점,단품요리 전문,33.4890037,126.3909025
제주청정원한우마당,단품요리 전문,33.4879808,126.4921451
도마도숯불갈비,가정식,33.5001939,126.5180142
각지불,가정식,33.4180631,126.6534847
매머드익스프레스 제주아라이도점,커피,33.4935401,126.5419653
동해미락,단품요리 전문,33.2436735,126.5682369
이레해물,가정식,33.4354231,126.2659701
섭지코지로,단품요리 전문,33.4599553,126.9306977
색달해장,단품요리 전문,33.2463055,126.4297973
오닉스,단품요리 전문,33.4876979,126.4778437
으뜸아이스크림할인점강정점,아이스크림/빙수,33.2527791,126.5037006
다정이네,가정식,33.4965952,126.6370615
주식회사 명륜진사갈비 아라점,가정식,33.4746111,126.5447235
더시크릿,가정식,33.4816992,126.4826859
쿵푸티 제주신화월드점,커피,33.3071802,126.3174379
옹포별장가든,가정식,33.4049801,126.2580119
뚜레쥬르 일도점,베이커리,33.5044985,126.5418338
감정,양식,33.2563564,126.5746769
한담팥빵,베이커리,33.4895326,126.4859137
대어호,단품요리 전문,33.4850117,126.4876619
명리동식당,가정식,33.3166152,126.270433
어우늘,가정식,33.4811504,126.5050546
맛존디,가정식,33.258697,126.4271395
프랭크버거 제주표선점,햄버거,33.3269174,126.83216
한화호텔앤드리조트(주)제주지점,구내식당/푸드코트,33.4484947,126.6382128
조마루뼈다귀 시청점,단품요리 전문,33.4979367,126.5297617
큰맘할매순대국조천점,단품요리 전문,33.5340842,126.6213179
피자탑 신제주점,피자,33.4842695,126.4826654
제주할망밥상 표선점,가정식,33.3202437,126.8294036
로쿤커피,단품요리 전문,33.4503291,126.3674254
전포여관제주시청점,맥주/요리주점,33.499521,126.5282182
그늘집,단품요리 전문,33.2538407,126.5100971
옥이네복돼지,가정식,33.4903892,126.4879065
동남팔팔회센타,단품요리 전문,33.4479694,126.9151816
예닮국수,단품요리 전문,33.4876779,126.4314005
피자베이제주점,피자,33.4967655,126.5390025
시키,일식,33.4856084,126.4137341
투썸플레이스 제주애월다인호텔점,커피,33.4725009,126.3504542
일번가,가정식,33.5063491,126.5241037
돼지촌,가정식,33.4838515,126.4833915
빨간집제원점,가정식,33.4867647,126.4910562
채점석 베이커리 혁신도시점,베이커리,33.2484988,126.5142129
제주감자탕,단품요리 전문,33.4900614,126.4930158
고객식당,가정식,33.511716,126.5258505
방과후카페2,분식,33.4760696,126.5453673
제이제이케터링(주)BHA,가정식,33.2842449,126.2894349
천지연숯화로구이,가정식,33.2474148,126.3297097
주식회사 클럽올레,가정식,33.488201,126.4961019
석봉이네,단품요리 전문,33.4767865,126.4778517
더치앤빈노형점,커피,33.4836352,126.4783223
"루마인,퍼즈,투썸플레이스제주루마인점",커피,33.4842058,126.9014917
봄봄,커피,33.4603759,126.5611427
섭지코지해녀밥상,단품요리 전문,33.435755,126.9174891
팔공티 노형점,커피,33.4787239,126.4874557
