관광지명,위도,경도
곤흘동(곤을동) 마을터,33.5217947,126.5573636
골프탕탕,33.3032678,126.3921139
곱닥한개,33.5238931,126.5827311
공방:하루_반,33.55442,126.7972391
공천포,33.3330338,126.6180657
공천포구,33.3330338,126.6180657
곶자왈,33.2728743,126.2575374
곽지패총,33.4459898,126.3070879
곽지해수욕장,33.45329040000001,126.3212801
곽지해수욕장야영장,33.4502492,126.3048504
관덕정,33.5133704,126.5214334
관음사,33.4237942,126.5583908
관음사 군 주둔지 옛터,33.4237942,126.5583908
관음사 야영장,33.4219399,126.5505904
관음사 템플스테이,33.4237942,126.5583908
광령귤나무,33.4589837,126.4391292
광치기해변,33.4370258,126.9224025
교래자연휴양림,33.4373391,126.6668484
구엄리돌염전,33.4830351,126.3772045
구엄포구,33.4791227,126.3813732
구좌 하도어촌계,33.5290971,126.8463777
구좌해안로,33.5571857,126.7273214
국립제주박물관,33.5134213,126.5487245
"군산(군산오름,코메오름)",33.2518397,126.3681097
굴동포구,33.5290971,126.8463777
굿다이버,33.2610642,126.506024
궁대오름(궁대악),33.4401361,126.8237773
귀덕연대,33.4418592,126.2933748
귀빈사,33.4743111,126.7771579
귤밭76번지,33.2827243,126.365378
귤빛캠핑장,33.5042988,126.6740979
"그대, 나의 뮤즈 : 클림트 to 마티스",33.3071802,126.3174379
그랑블루 요트투어,33.2387788,126.4396208
그랑블루호(선상낚시),33.274681,126.6625283
그루밍시즌,33.2510131,126.5676257
그루밍제주,33.2525293,126.4427928
그리스신화박물관 / 트릭아이미술관,33.3480103,126.3567232
그린크루즈(산방산유람선),33.2361194,126.3360016
그제바람 윈드서핑패들보드,33.526004,126.5868622
금능석물원,33.3857827,126.2269007
금능포구,33.3700283,126.2392054
금능해수욕장,33.3911311,126.2362647
금덕무환자나무및팽나무군락,33.4417801,126.4006408
금룡사,33.553856,126.7535423
금룡사 템플스테이,33.553856,126.7535423
금붕사,33.5291728,126.8123293
금성포구,33.4468376,126.2981927
금악오름(왕매),33.3556961,126.3055862
기독교순례길 1코스(순종의길),33.4463344,126.3027219
기독교순례길 2코스(순교의길),33.3947794,126.2430641
기독교순례길 3코스(사명의길),33.336746,126.2308715
기독교순례길 4코스(화해의길),33.250923,126.2795873
김경숙해바라기농장,33.477406,126.62762
김녕 지질트레일,33.5562746,126.7621793
김녕 청굴물,33.5579913,126.7512955
김녕금속공예벽화마을,33.5579532,126.7465847
김녕사굴,33.5010103,126.7736187
김녕요트투어,33.5579617,126.7367958
김녕항,33.5581302,126.7402139
김녕해수욕장,33.5571808,126.7365271
김녕해수욕장야영장,33.5290971,126.8463777
김녕해안도로,33.5389636,126.7494481
김만덕객주,33.5164531,126.5321246
김만덕기념관,33.51589540000001,126.5304318
김서프제주,33.2615843,126.4080643
김영갑갤러리 두모악,33.3719327,126.8543753
김영수도서관,33.5151464,126.522371
김택화미술관,33.5437307,126.6532369
김한미술관 & 카페3206,33.4090462,126.2871131
까끄래기오름,33.4180631,126.6534847
꽃썸,33.3097574,126.3400623
꿈바당 어린이도서관,33.4806652,126.4999898
나바론절벽,33.9564393,126.2939616
나틸다,33.4737773,126.5443983
낙선동 4.3성,33.5148748,126.694464
낙천리아홉굿의자마을,33.3279018,126.2264139
낙천아홉굿마을 의자공원,33.3279018,126.2264139
낙타트래킹,33.4029137,126.7789058
남내소,33.2827346,126.6193261
남두연대,33.4792168,126.3584571
남문지못,33.2465685,126.2763458
남수각 하늘길 벽화거리,33.5114439,126.5278175
남원 위미2리 어촌계,33.2748749,126.6694012
남원큰엉해변,33.273292,126.7034612
남원항 (남원포구),33.2778038,126.7196583
납읍난대림 금산공원,33.4073895,126.3692764
내창트레킹,33.2692431,126.6254292
너븐숭이 4.3기념관,33.5460649,126.6886038
넥슨컴퓨터박물관,33.4720375,126.4855328
노루생태관찰원,33.4448954,126.6256807
노리매공원,33.2831505,126.2873239
노을승마장,33.5129459,126.9464386
노을해안1014,33.2977066,126.168618
노을해안로,33.2425714,126.2243799
노형수퍼마켙,33.4648375,126.4551637
녹산로유채꽃길,33.3828211,126.7313785
논짓물,33.2399183,126.3797536
놀멍쉬멍고르멍(애견카페),33.2657651,126.5559665
놀자개,33.4838428,126.4621778
농개,33.3817927,126.8799805
높은오름,33.4573234,126.7926039
누운오름(한림읍),33.3639236,126.3240992
누웨마루거리(구 바오젠),33.4877703,126.4902901
눈물의십자가,33.9470135,126.3200969
느지리오름(망오름),33.3655872,126.2611583
다끄네포구(용담포구),33.515778,126.4956884
다랑쉬굴,33.4697045,126.8318155
다랑쉬마을,33.470644,126.8233394
다랑쉬오름(월랑봉),33.4750154,126.8265175
다려도,33.5374849,126.6939218
다이나믹메이즈,33.3991423,126.7851051
단산(바굼지오름),33.2399492,126.2892156
단산과 방사탑,33.5473705,126.6505029
닭머르해안길,33.5378704,126.6132214
답다니 탑망대 (하트원담),33.5245901,126.9525595
"당산봉(당오름,차귀오름)",33.3074922,126.1721476
당오름,33.4672277,126.7771789
당오름(안덕면),33.3332496,126.3359999
당오름(한경면),33.30827,126.1735626
당케산물(당케포구),33.3257987,126.844695
대림리선돌,33.4225512,126.2785184
"대수산봉(큰물뫼,물미오름)",33.4380657,126.9024173
대수포구,33.4264828,126.2666246
"대왕산 (왕뫼, 왕메, 왕미)",33.4574871,126.8720863
대유ATV수렵사격랜드,33.2776666,126.3952692
대장금촬영지(제주민속촌),33.3225098,126.8418176
대정면 4.3사건 위령비,33.22545,126.2484022
대정해변(하모해변),33.2206158,126.2518524
대정향교,33.2394319,126.2883184
대정현역사자료전시관,33.22512469999999,126.2562668
대평포구,33.2594294,126.3576754
대포포구,33.2423126,126.4345568
대한민국최남단기념비/ 마라도 기념비,33.1142677,126.2685432
댕댕놀이터,33.491947,126.4369238
댕댕샤워,33.4828037,126.4147774
더 플래닛(THE PLANET),33.2552155,126.4129736
"더럭초등학교(구, 더럭분교)",33.4534199,126.3455274
더마카트,33.3508962,126.2482536
더마파크,33.3508962,126.2482536
더펫츠,33.4653278,126.4852283
더힐하우스스파,33.3355186,126.3240674
덕천리 팔자 좋아 길,33.4712169,126.7742238
도곤도곤 애견미용실,33.4918512,126.4877242
도그앤캣,33.26342090000001,126.5553192
도도펫,33.4853627,126.4282504
도두동 무지개 해안도로,33.5011256,126.4715438
도두봉,33.5085336,126.4690416
도두항,33.5060695,126.4649759
도두해안도로,33.5104009,126.4823388
도령모루,33.3785614,126.5661908
도리미오름,33.4286608,126.7665022
도순다원,33.2730714,126.4829862
도치돌 알파카목장,33.4103676,126.3658575
독자봉,33.3878614,126.8542922
돈내코,33.3510774,126.620716
돈내코유원지,33.3003146,126.5845023
돈대산,33.9519361,126.3314838
돈대산산림휴양산책로,33.9519361,126.3314838
돔박이오름 (동박악),33.3394972,126.364069
돔베낭골,33.2665145,126.5323308
돔베낭길,33.239982,126.5318596
동거문이오름,33.4487783,126.8053665
동계 정온 유허비,33.2620271,126.2867537
동굴의 다원 다희연,33.4793022,126.7006286
동귀방파제,33.479395,126.395497
동백동산,33.5166335,126.7170315
동백포레스트,33.3330338,126.6180657
동복환해장성,33.5359923,126.7190983
동산농원 딸기체험장,33.3335892,126.2459599
동알오름,33.2071841,126.2888223
동일리포구,33.247276,126.2475706
돛오름,33.4804964,126.7995482
두맹이골목,33.5120308,126.5349279
두산봉(말미오름),33.4693635,126.8824129
둔지봉,33.5016894,126.7942442
뒤굽은이오름,33.4308824,126.8264732
들렁모루 산책길,33.2824434,126.5426483
등머을레져,33.4929345,126.9515777
디스커버제주,33.2473316,126.4316793
디어펫,33.4765268,126.4883242
따라비오름,33.3828211,126.7313785
라신동,33.4317792,126.291254
라온골프클럽,33.3418703,126.2780253
라온승마클럽,33.3508962,126.2482536
라온주 실내체험동물원,33.3508962,126.2482536
러블리독스,33.4925488,126.5488587
레더한,33.2838281,126.7276177
레이저서바이벌M,33.4870903,126.4896113
렛츠런파크,33.4075219,126.3986485
렛츠런팜 양귀비꽃,33.4181589,126.6814211
렛츠런팜제주,33.4181589,126.6814211
로로 요가,33.5437787,126.6688353
롯데호텔 브이스파,33.2482702,126.4104128
리틀프린스뮤지엄,33.2494459,126.4134037
마라도 섬투어,33.11800400000001,126.2662358
마라도(마라해양도립공원),33.1186177,126.2670965
마라도관광쉼터,33.117772,126.2676447
마라도기원정사,33.116049,126.2665284
마라도등대,33.1697336,126.271453
마라도성당,33.1157799,126.2691275
마방목지,33.4283922,126.6061215
마복이오름,33.3195222,126.3911992
마오름(한경),33.3380741,126.2437163
마원,33.4907951,126.7002082
마흐니 숲길,33.3597969,126.6918419
막숙,33.2378108,126.5157218
만벵듸 공동장지,33.3742666,126.2929854
만장굴,33.52819720000001,126.7717618
맛있는 철학자(태반의땅제주),33.2675597,126.5904304
망장포,33.2593087,126.6394618
매오름,33.3184729,126.813883
맬튼개 갯담,33.5207545,126.8655916
머체왓숲길,33.31887750000001,126.6742738
멍더랜드,33.4921643,126.4733944
멍멍플레이스,33.4160646,126.3795603
메이즈랜드,33.4743111,126.7771579
명월성지,33.4004982,126.2609256
명월팽나무군락,33.3869859,126.2666011
모구리오름,33.40684760000001,126.8216772
모라이,33.3032221,126.5065644
모슬봉 (모슬개오름),33.2387411,126.2586638
모슬포항,33.2185733,126.2483834
모지오름,33.395118,126.7701692
모진이몽돌해변,33.9461026,126.3339312
목시물굴,33.5106585,126.7208038
목장카페 드르쿰다,33.4084452,126.7703918
묘산봉 (괴살메),33.5429414,126.7446599
무등이왓터,33.3094859,126.3521086
무릉곶자왈,33.2915406,126.2625424
무릉도원마을,33.2747785,126.235335
무릉자전거도로(환상자전거길 3구간),33.5571808,126.7365271
무민랜드,33.3065678,126.3818063
무비랜드왁스뮤지엄,33.2436726,126.4215188
무수천,33.4633826,126.4445845
묵리마을,33.948255,126.3145612
묵리처녀당,33.948255,126.3145612
묵리해안쉼터,33.9449559,126.3120586
묵리해안포구,33.945677,126.3129067
문도지오름 (문돗지),33.3267986,126.2944782
문서프,33.4501389,126.3083862
문석이오름 [출입제한 - 자연휴식년제 적용 중],33.4564636,126.7691579
문섬(서귀포해양도립공원),33.2476862,126.5944126
문화공간 양,33.5093014,126.5618496
문화빳데리 충전소,33.2479686,126.5645097
문화예술마을 저지리 농어촌체험마을,33.3326276,126.255863
"물메(물미, 수산봉)",33.4739896,126.3843391
물뫼힐링팜,33.4642593,126.3965364
물영아리오름,33.3325498,126.7030501
물찻오름 [출입제한 - 자연휴식년제 적용 중],33.4180631,126.6534847
"미악산 (턥오름, 쌀오름, 솔오름)",33.288341,126.5780386
미요캔들,33.4890692,126.5340096
미천굴,33.3831862,126.8418892
민속자연사박물관,33.5063429,126.5315162
민속해안로,33.3072646,126.806241
민오름(구좌읍),33.4743111,126.7771579
민오름(봉개동),33.4787602,126.6171163
민오름(오라동),33.4765251,126.5064499
민오름(조천읍),33.4479687,126.6946198
바구스서핑스쿨,33.497571,126.4494768
바늘오름,33.4180631,126.6534847
바당미술관,33.2438693,126.2187076
바람모루,33.2857414,126.51819
바릇스파,33.3970743,126.2444268
바이나흐튼 크리스마스 박물관,33.291382,126.3278771
박물관은 살아있다,33.254854,126.4092614
박성내,33.4849286,126.5438459
박수기정,33.237153,126.3587249
발이오름,33.3930387,126.3752935
발자국화석공원,33.2173222,126.2930456
밧돌오름,33.4609663,126.7618258
방림원,33.3371463,126.2685417
방선문,33.4712097,126.5020906
방일리공원,33.4791164,126.4770522
방주교회,33.3051258,126.3872587
배령연대,33.3879653,126.2237229
백년초농장박물관,33.2446875,126.5439247
백록담,33.3469018,126.5354546
백약이오름 [출입제한 - 자연휴식년제 적용 중],33.437224,126.790195
백제사,33.4487759,126.4242169
백제사 템플스테이,33.4487759,126.4242169
백조일손지묘(백조일손지지),33.2383758,126.3026575
밸런싱 요가,33.4792251,126.5432248
번개과학체험관(폐업),33.289656,126.5887248
범섬,33.2429654,126.5123652
법정사,33.3231587,126.4860018
법화사,33.2651982,126.4577155
법화사지,33.2651982,126.4577155
법환포구,33.2378108,126.5157218
베릿네오름,33.2489928,126.4189201
벨리타,33.5078463,126.6979744
별내린전망대,33.2474869,126.4168432
별도봉,33.5152335,126.5637013
별도연대,33.5262639,126.5681327
별도포구,33.5250256,126.5649338
별방진,33.5264493,126.8830512
병악현무암지대,33.2383758,126.3026575
보롬왓,33.4134884,126.7525669
"보롬이(하논, 화구구)",33.2515647,126.5488748
보목포구,33.2395268,126.6073589
보물섬하이킹,33.5059252,126.5102111
보통청춘기록실 청춘사진관,33.4439641,126.2937123
본초족욕,33.4714991,126.4880975
본태박물관,33.3038302,126.3925024
볼레낭길,33.2359201,126.3493905
봉구의간식,33.4645415,126.3191123
봉글레산,33.9618025,126.2938002
봉쥬르봉봉,33.3978747,126.2455907
부대악오름,33.4473741,126.7095407
부영컨트리클럽,33.3589908,126.7119415
북오름,33.3026715,126.3320236
북촌국민학교,33.5476632,126.6918048
북촌돌하르방미술관,33.5388462,126.6886626
북촌리 4.3길,33.5460649,126.6886038
북촌포구,33.5500507,126.6941475
북촌환해장성,33.5374849,126.6939218
불카분낭 (불타버린 나무),33.5127837,126.706323
불탑사 (5층석탑),33.5292607,126.5979702
붉은오름 자연휴양림,33.3956632,126.6709854
붉은오름(성산읍),33.42584310000001,126.9316231
붉은오름(표선면),33.3956632,126.6709854
브레이브독스,33.4217222,126.2766279
브릭캠퍼스,33.4583686,126.4848648
비블리아성서식물원,33.3560796,126.2750765
비양도,33.3819398,126.2497525
비양도 연평리 야영지,33.5153866,126.9684389
비양도등대,33.4058696,126.2230341
비양도의 비양나무자생지,33.4086777,126.2258789
비자림,33.4914321,126.8111377
비자림농원,33.5154908,126.696748
비체올린,33.3494593,126.2184532
비치미오름,33.4286608,126.7665022
빌레못동굴,33.4043509,126.3497287
빛의 벙커,33.439644,126.8998205
빠우사,33.4578576,126.7117412
뽀로로&타요 테마파크 제주,33.3009289,126.3710876
쁘램 요가,33.4815136,126.4906401
삐삐그루밍,33.2806079,126.286125
사계 용머리해안 (해산물),33.233659,126.3112234
사계항,33.2383758,126.3026575
사계해변,33.2281549,126.3083471
사계해안도로,33.2383758,126.3026575
사라봉,33.5175052,126.5463832
사라봉공원,33.5177204,126.5457574
사라오름,33.3330338,126.6180657
사려니숲길,33.4180631,126.6534847
사려니오름,33.3590789,126.6462332
사진놀이터,33.4566728,126.4416855
산굼부리,33.4349973,126.6882639
산방굴사,33.2423934,126.3139575
산방산,33.2423934,126.3139575
산방산 랜드,33.2333579,126.3133497
산방산 수국,33.2368316,126.3085891
산방산 용머리해안 지질트레일,33.2487082,126.2990433
산방산둘레길,33.2490573,126.3521306
산방산탄산온천,33.2487082,126.2990433
산양곶자왈,33.2909385,126.2506335
산지등대,33.5213689,126.5456439
산지천,33.5153591,126.5420032
산지천갤러리,33.5151533,126.5283418
산지항 옛터,33.5168451,126.5346137
산천단,33.4478056,126.5529954
산천단곰솔,33.44761440000001,126.5548272
산호레저,33.4929367,126.9511569
삼각봉,33.3917738,126.4945012
삼다수숲길 지질트레일,33.4317393,126.6745966
삼매봉,33.2437181,126.5462844
삼밭구석 & 동광리4·3희생자위령비,33.3112432,126.3303907
삼사석,33.5210758,126.5739916
삼성혈,33.5043005,126.5288724
삼양 셋다리물,33.5289566,126.5891603
삼양방파제,33.5247394,126.576052
삼양해수욕장,33.5152875,126.5914354
삼양해안도로,33.52099949999999,126.5841277
삼의악트레킹코스,33.4612315,126.5550836
삼화포구,33.5287547,126.5891309
상추자마을길,33.9470135,126.3200969
상추자포구,33.9632642,126.2909883
상추자항,33.9624088,126.2955434
상효원,33.3067015,126.5852773
새별오름,33.364338,126.3552026
새별헤이요목장,33.364338,126.3552026
새섬,33.2394153,126.5584767
새시물,33.365477,126.2727009
새연교,33.2385309,126.5588868
샘이오름,33.38628,126.6183294
생각하는정원,33.3256175,126.2554228
생이기정,33.3156228,126.167296
샤이니숲길,33.4180631,126.6534847
서건도,33.2300776,126.4984926
서광리 곶자왈생태탐방로,33.2851309,126.3379795
서광승마장,33.3026949,126.2908437
서귀다원,33.3211576,126.5716701
서귀본향당,33.2461722,126.5647482
서귀포 궁도장(천지정),33.2595168,126.4976196
서귀포 다이브센터,33.2593087,126.6394618
서귀포 하영올레,33.2539833,126.5599925
서귀포농업기술센터 제주농업생태원,33.28800700000001,126.607583
서귀포시립기당미술관,33.2446073,126.5517635
서귀포예술의전당,33.2462166,126.550832
서귀포의료원,33.255901,126.5638202
서귀포자연휴양림,33.3107796,126.4597767
서귀포잠수함(대국해저관광),33.2394153,126.5584767
서귀포천문과학문화관,33.2879365,126.4613039
서귀포층패류화석산지,33.2398952,126.5583664
서귀포치유의숲,33.3025489,126.5245747
서귀포칠십리시공원,33.2461424,126.5536944
서귀포항,33.2382947,126.5668633
서귀포해안,33.2857414,126.51819
서복전시관,33.2447048,126.5709423
서부두명품횟집거리,33.5177203,126.5283813
서영아리오름 / 용와이오름,33.3270863,126.4008413
서우봉,33.5453632,126.6775414
서중천탐방로,33.31887750000001,126.6742738
서프라이즈테마파크,33.4651605,126.6592588
선녀와나무꾼,33.4790107,126.7034736
선운정사,33.4293512,126.3070877
선족이오름(알선족이),33.4421725,126.7485654
선흘1리,33.5114717,126.7051465
설쿰바당,33.2383758,126.3026575
섬생이,33.9399483,126.3112743
섬속의섬우도렌트,33.4938399,126.951
섭지코지,33.4300919,126.9272996
섯알오름,33.2041823,126.281552
성김대건신부표착기념관,33.322643,126.167682
성널오름 (성판악),33.3330338,126.6180657
성불오름,33.459495,126.8089765
성산 유채꽃재배단지,33.4544361,126.9251079
성산~세화 해안도로,33.4760505,126.9099403
성산오조리해안,33.4675797,126.9237413
성산일출봉(UNESCO 세계자연유산),33.4621008,126.9362017
성산초등학교 서청특별중대 주둔지,33.4627485,126.931769
성산포항,33.47256840000001,126.9323378
성산항,33.47256840000001,126.9323378
성읍녹차마을,33.3810103,126.7901958
성읍랜드,33.398978,126.7869638
성읍목장,33.4043022,126.7918316
성읍민속마을,33.3844862,126.8003558
성읍승마장,33.398978,126.7869638
성이시돌목장,33.3459727,126.3215552
성클라라수도원 금악성당,33.3483761,126.3193118
섶섬(서귀포해양도립공원),33.2551673,126.596065
세계술박물관,33.3539492,126.8176627
세계자동차 & 피아노박물관,33.283212,126.3499189
세계조가비박물관,33.2475382,126.5516833
세리월드 테마파크,33.247333,126.5124954
세미오름(삼의양오름),33.4612315,126.5550836
세미오름(샘이오름),33.47386900000001,126.6697805
세인트포골프장,33.5207642,126.7366598
세화소품관,33.5290971,126.8463777
세화항,33.4902403,126.8326492
세화해변,33.5233947,126.8622722
세화해안도로,33.5218916,126.8613471
소남머리,33.2443044,126.5690477
소라의성,33.2451289,126.5768275
소병악 (족은오름),33.306981,126.3698616
소수산봉(족은물뫼),33.4369349,126.912145
소암현중화기념관,33.245138,126.5674709
소인국테마파크,33.2903957,126.3226207
소정방폭포,33.2451289,126.5768275
소천지,33.2417541,126.6027128
손방둥이,33.47578,126.4777146
손지오름,33.4561423,126.8188084
솔담한방병원,33.4591114,126.484372
솔동산8경,33.2428621,126.5634873
송계순집터,33.2509984,126.277504
송당리,33.4710514,126.7811841
송당본향당,33.4564636,126.7691579
송당승마장,33.4362132,126.7378524
송령이골,33.3186977,126.7049452
송악산 [출입제한 - 자연휴식년제 적용 중],33.2077419,126.2909048
송악산 진지동굴,33.2194382,126.2757103
송악산둘레길,33.2077419,126.2909048
송악카트체험장,33.2085318,126.2894054
송악힐링풋스킨,33.2089582,126.2892391
송죽사터,33.2620271,126.2867537
쇠소깍,33.2522494,126.6230068
쇠소깍제트,33.2505822,126.6208834
쇠소깍해변,33.2543893,126.6170647
쇠와꽃 승마장,33.4471816,126.920241
수목원테마공원(야시장길&LED공원),33.4705937,126.4883601
수목원테마파크,33.4705937,126.4883601
수산저수지,33.4750266,126.3864409
수악 (물오름),33.3232261,126.6090921
수월봉,33.29476640000001,126.1634255
수월봉 지질트레일,33.29387910000001,126.1628663
수월이못,33.2583625,126.2784526
순례자의교회,33.3198062,126.1805485
숨도(석부작박물관),33.2505771,126.5363941
숫모르편백나무숲길,33.4316359,126.603808
쉬리의언덕,33.245437,126.405584
쉼터마을 유수암리 농어촌체험마을,33.4413815,126.4029241
스누피가든,33.4435555,126.7785412
스위트몽키,33.294924,126.2358637
스위트호텔 아로마,33.2493321,126.4082147
스쿠버스쿨,33.5089956,126.4775545
스타빌,33.3394896,126.3947221
스프링데일CC,33.31887750000001,126.6742738
시크릿가든촬영지,33.242596,126.4210209
신대산전망대,33.9519361,126.3314838
신대해안,33.9519361,126.3314838
신도포구,33.2832753,126.1916943
신비의도로,33.4511084,126.4872373
신비의도로카트체험장,33.4618051,126.4848818
신산공원,33.505296,126.5336622
신산신양해안도로 (해산물),33.4384409,126.9082434
신산환해장성,33.3858087,126.8675588
신양섭지해수욕장,33.4300919,126.9272996
신양포구,33.4384409,126.9082434
신양항(하추자항),33.9427314,126.3228502
신양해안도로,33.4403344,126.9160013
신엄포구,33.4765233,126.3600749
신창~차귀해안도로,33.3418314,126.1713251
신창리포구,33.3427823,126.1815477
신창풍차해안도로,33.3434277,126.1739088
신천리 벽화마을,33.3506155,126.8524692
신천리(용궁올레),33.351655,126.83947
신풍리 밭담길,33.3619402,126.8407663
신화워터파크,33.3071802,126.3174379
신화테마파크,33.3060039,126.3118145
신효 생활개선회,33.2669324,126.6153812
신효베스트마을,33.2608009,126.6124311
신흥2리 동백마을,33.3204204,126.7450945
신흥리 동백 & 향나무길,33.3300174,126.7317396
심헌갤러리,33.4707449,126.544207
싱계물 공원,33.3434277,126.1739088
쌍용굴(한림공원),33.3883099,126.2394248
썬플라워의원,33.3810152,126.2411754
씨에스호텔 프라이빗스파,33.242596,126.4210209
아끈다랑쉬,33.4754137,126.8302981
아날로그감귤밭,33.455681,126.4509292
아라고나이트 온천(디아넥스호텔),33.3032678,126.3921139
아라리오뮤지엄동문모텔1,33.5135621,126.5284705
아라리오뮤지엄동문모텔2,33.5149589,126.5293687
아라리오뮤지엄탑동시네마,33.5120406,126.5215055
아르떼뮤지엄,33.3964708,126.3446147
아름다운피부과,33.4867889,126.4799332
아부오름,33.4476259,126.7772967
아이리스촬영지(하얀등대),33.3747697,126.7684581
아이스뮤지엄,33.4705937,126.4883601
아일랜드에프,33.47256840000001,126.9323378
아침미소목장,33.4544337,126.5864979
아침한의원,33.411994,126.2653206
아쿠아플라넷 제주,33.4325283,126.9272108
아프리카박물관,33.2398593,126.4290352
아홉굿마을 낙천리 농어촌체험마을,33.3279018,126.2264139
"안녕, 상이 친구들",33.4742392,126.5403758
안덕계곡,33.258442,126.3529777
안덕면 사계어촌계,33.2280961,126.304544
안돌오름,33.4572421,126.7561096
"안세미 (명도오름,明道岳)",33.4679822,126.606226
알뜨르비행장,33.2044499,126.2726438
"알밤(알바매기, 알밤오름)",33.4919563,126.7038206
알오름(성산읍),33.4767852,126.8959244
알오름(표선면),33.3277279,126.7771358
알작지해변,33.4961892,126.4412401
알제이,33.3026356,126.1791688
알진오름(안친오름),33.4776323,126.7866041
알프스승마장포니,33.3982708,126.8021819
앙데팡당,33.4736866,126.3536738
앙리젤,33.4826325,126.4804943
애월 하물,33.4648968,126.3206153
애월 한담 카약,33.4625151,126.3094702
애월스쿠버다이빙스쿨,33.4662764,126.3220076
애월연대,33.4656589,126.3130593
애월한담해안산책로,33.4590784,126.3105376
애월해안도로,33.4765233,126.3600749
애월환해장성,33.4681064,126.3131354
액트(AC.lll.T) 볼링장,33.3060039,126.3118145
액티브파크,33.380726,126.2360024
약천사,33.2461046,126.4495188
약천사 템플스테이,33.2461046,126.4495188
어리목계곡,33.3917738,126.4945012
어린이교통공원,33.4514849,126.6239927
어승생,33.4569871,126.4586514
어영공원,33.5177971,126.4877926
엄바위장승,33.9519361,126.3314838
엉덩물계곡,33.2473317,126.4180777
엉또폭포,33.2604907,126.4948354
엉알해안,33.2988351,126.1686043
엉알해안산책로,33.3080027,126.164116
에버리스 골프리조트,33.3777068,126.3603512
에코랜드 테마파크,33.4617075,126.6703845
여미지식물원,33.2531755,126.4149952
연대포구,33.4933077,126.4287763
연미마을(오라리 방화사건 현장),33.3785614,126.5661908
연북정,33.5401964,126.6359829
연화못,33.4431446,126.3556046
열리해안길,33.2399183,126.3797536
영남동,33.288409,126.4968764
영등할망 신화공원,33.4452174,126.2944694
영모원,33.479395,126.395497
영실기암,33.3064815,126.4708742
영주산,33.3804615,126.7929855
영천악(영천오름),33.3070873,126.6002772
예래생태체험관,33.2443642,126.3909914
예래해안도로,33.241809,126.3872908
예술공간 이아,33.5108518,126.5220876
예절이오름(여절악),33.34827180000001,126.7358347
예초리,33.9470135,126.3200969
예초리기정길,33.9519361,126.3314838
예초리포구,33.9556765,126.3323793
예초리해변,33.9519361,126.3314838
오라동 청보리-메밀꽃밭,33.4271581,126.5057837
오래물,33.5060695,126.4649759
오름터 민속마을,33.3914615,126.8006639
오림반,33.3330338,126.6180657
